id,statement,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,tags,images,exam_year,exam_board,exam_institution,exam_region,areas_conhecimento,assuntos,decs_terms,created_at,updated_at
25651,"Um ensaio clínico com a nova vacina contra dengue (QdengaR), autorizada pela Anvisa para uso no Brasil, produzida pelo Laboratório TAKEDA mostrou os resultados na análise por protocolo, com duas doses da vacina, apresentados na Tabela abaixo: Em relação à eficácia vacinal de 80,2% (IC 95% 73,3-85,3), podemos afirmar:","A eficácia de 80,2% parece indicar que em 19,8% das pessoas vacinadas nenhuma proteção associada à vacina foi conferida.","A eficácia de 80,2% tem boa magnitude, mas o intervalo de confiança não mostrou significância estatística.","A eficácia, calculada pela Redução do Risco Relativo (RRR), parece indicar uma redução da suscetibilidade à infecção de 80,2%.","A eficácia, calculada pelo inverso do Risco Atribuível, indica que 80,2 % da população estará imune à doença, conferindo à população uma boa imunidade coletiva.",,C,,[],"[""https://pdres.s3.amazonaws.com/imgs/01ac395cb9bce37ae7f4d5f0465cccb8.png""]",2024,CESUPA,,PA,"[""Ciclo Básico"",""Cirurgia Geral"",""Clínica Médica"",""Ginecologia e Obstetrícia"",""Medicina da Família e Comunidade (MFC)"",""Pediatria""]",[],[],Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 01:07:01 GMT+0000 (Coordinated Universal Time)
25650,"Um novo teste diagnóstico de TB pulmonar (denominado provisoriamente de Ellispot). Foi comparado ao teste padrão ouro de cultura (cultura de Lowestein Johson), que tem sensibilidade de 91,9% e especificidade de 100%. Já o teste de Ellispot apresentou sensibilidade de 96% e especificidade também de 100%. Se 200 pacientes sintomáticos respiratórios se submeterem a ambos os testes, qual das afirmativas estará correta em relação ao novo teste?",O teste Ellispot identificará mais pessoas com TB que tiveram o teste negativo.,O teste Ellispot identificará menos pessoas sem a doença em comparação ao padrão ouro.,Seria necessário conhecer a prevalência para poder avaliar a Razão de Verossimilhança positiva do teste Ellispot.,O teste Ellipot identificará menos pessoas com TB que tiveram o teste negativo.,,D,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 01:07:15 GMT+0000 (Coordinated Universal Time)
25649,"Na pandemia da COVID-19, ainda com casos detectados neste ano de 2023, os testes diagnósticos rápidos de Ag, com material de swab de oro e naso faringe foram comparados com o padrão-ouro RT-PCR com material semelhante. Na avaliação da acurácia desses testes, podemos usar a medida do Odds-Ratio diagnóstico. Quanto maior a magnitude dessa medida, melhor é o teste. Então, em relação ao Odds-Ratio diagnóstico, assinale a afirmativa verdadeira:","A curva ROC é fundamental nessa avaliação, pois o valor do Odds-ratio diagnóstico é estimado pela área sob a curva.",O Odds-ratio diagnóstico é calculado pela razão entre a Razão de Verossimilhança Positiva e a Razão de Verossimilhança Negativa.,O Odds-ratio diagnóstico tem o mesmo valor do J de Youden nas curvas ROC.,"O Odds-ratio diagnóstico depende da sensibilidade, da especificidade e da prevalência, assim como o Valor Preditivo Positivo.",,B,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 01:07:32 GMT+0000 (Coordinated Universal Time)
25648,"A atenção domiciliar (AD) é a forma de atenção à saúde oferecida na moradia do paciente e caracterizada por um conjunto de ações de promoção à saúde, prevenção e tratamento de doenças e reabilitação, com garantia da continuidade do cuidado e integrada à Rede de Atenção à Saúde. Com abordagens diferenciadas, esse tipo de serviço está disponível no Sistema Único de Saúde (SUS) e é oferecido de acordo com a necessidade do paciente, a partir do atendimento de diferentes equipes. Sobre o atendimento domiciliar, podemos afirmar:","Segundo a Lei no 8080/90 em artigo acrescido da lei no 10.424/02: Na modalidade de assistência de atendimento e internação domiciliares incluem-se, principalmente, os procedimentos médicos, de enfermagem, fisioterapêuticos, psicológicos e de assistência social, entre outros necessários ao cuidado integral dos pacientes em seu domicílio.","A modalidade AD2, destina-se a usuários que possuam problemas de saúde e dificuldade ou impossibilidade física de locomoção até uma unidade de saúde e que necessitem de maior frequência de cuidado, recursos de saúde e acompanhamento contínuo, sendo realizada pela equipe da ESF.","Segundo a Lei no 8080/90 em artigo acrescido da lei no 10.424/02: O atendimento e a internação domiciliares poderão ser realizados por indicação de qualquer profissional da saúde de nível superior, com expressa concordância do paciente e de sua família.","O Serviço de Atendimento Domiciliar, por meio do programa Melhor em Casa, é composto por diversos profissionais da saúde, que realizam atendimento no domicílio das pessoas que necessitam de cuidados de saúde mais intensivos. O acesso ao SAD é somente feito no hospital em que o usuário estiver internado.",,A,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:17:25 GMT+0000 (Coordinated Universal Time)
25647,"As comunidades ribeirinhas são compostas de vários agrupamentos familiares, vivendo em casas de madeira, adaptadas ao sistema de cheias dos rios, dispersas ao longo de um percurso fluvial. Vivem, em sua maioria, à beira de rios, igarapés, igapós e lagos, estando isoladas, com pouco ou restrito acesso às mídias escrita e falada, mesmo com todos os aportes tecnológicos atuais. O transporte nas comunidades ribeirinhas é todo feito por via fluvial em embarcações sem motor (canoas) ou com motor (rabetas e voadeiras), sendo as distâncias calculadas em horas/dias. Sobre as características da atenção primária nas populações ribeirinhas, podemos afirmar:","As Equipes de Saúde da Família Ribeirinhas (eSFR) desempenham a maior parte de suas funções em Unidades Básicas Fluviais, para garantir o acesso em comunidades pertencentes a áreas em que estão à beira do rio.","Considerando as especificidades locais da Amazônia Legal e Pantanal Mato-grossense, os municípios podem optar somente entre dois arranjos organizacionais para equipes de Saúde da Família: ribeirinha ou fluvial, evitando os existentes para o restante do País.",A atuação do médico exige o desenvolvimento de  habilidades  como: realização de procedimentos específicos que seriam referenciados a outros profissionais nos centros urbanos; a interpretação de exames sem laudo de especialistas e o manejo inicial das urgências e emergências.,"As eSFR prestarão atendimento à população por, no mínimo, 20 (vinte) dias mensais, com carga horária equivalente a 6 (seis) horas diárias. Com a equipe mínima composta por: Médico, Enfermeiro, Técnico de Enfermagem e Agente Comunitário de Saúde ou de Combate de Endemias.",,C,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:18:12 GMT+0000 (Coordinated Universal Time)
25646,"Mulher de 32 anos, chega à unidade de saúde após acidente com material perfurocortante durante o trabalho na cozinha de uma lanchonete próxima da UBS. Após limpeza e sutura da lesão, quais orientações devem ser transmitidas à paciente?","Explicar sobre o preenchimento da Comunicação de Acidente de Trabalho (CAT) pela empresa e sobre a notificação da ocorrência, informando quanto aos cuidados necessários com a lesão e seus direitos trabalhistas.","Referenciar ao CEREST (Centro de Referência em Saúde do Trabalhador) para que o órgão tome medidas adequadas junto à empresa. Na UBS, realizar o curativo e prescrever anti-inflamatório não esteroide para alívio da dor e edema.","Avaliar a lesão e emitir um atestado, afastando-a do trabalho e encaminhando-a para o serviço de medicina do trabalho da empresa para possível readaptação de função, mesmo que seja temporária.",Emitir atestado médico e orientar a paciente a procurar o sindicato para preenchimento da Comunicação de Acidente de Trabalho (CAT).,,A,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:18:33 GMT+0000 (Coordinated Universal Time)
25645,Observe a figura abaixo e assinale a alternativa correta quanto a esse instrumento de abordagem familiar:,"Consiste na representação gráfica dos contatos dos membros da família com os outros sistemas sociais, incluindo a rede de suporte sócio sanitário.","Representa a presença ou ausência de recursos sociais, culturais e econômicos, sendo um retrato de um determinado momento estático na vida dos membros da família.",Sistema de colheita e registro de dados e que integra a história biomédica e a história psicossocial do paciente e da sua família.,"Instrumento que avalia a satisfação de cada membro da família, e os diferentes escores devem ser comparados para se avaliar o estado funcional desta.",,C,,,"[""https://pdres.s3.amazonaws.com/imgs/399cdaccafa2dee6590e5c448fc30e42.png""]",2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:18:49 GMT+0000 (Coordinated Universal Time)
25644,"Idoso, 70 anos, estava realizando poda no quintal de sua casa, quando despencou da árvore e acabou vindo a óbito no local. A família acionou o médico da UBS/ESF para orientações, visto que o idoso era acompanhado no grupo de HIPERDIA desta mesma UBS e a família suspeita que ele tenha sofrido um Infarto Agudo do Miocárdio no momento do acidente. Neste caso, qual seria a conduta do médico da ESF, assim que diagnosticou o óbito?","Preencher a Declaração de óbito, pois o idoso já era acompanhado pela equipe da UBS/ESF e o médico vinha prestando assistência ao paciente.",Orientar a família a realizar um Boletim de Ocorrência Policial para que o corpo seja removido pelo Instituto Médico Legal (IML) e periciado pelo médico legista.,"Acionar o Serviço de Verificação de Óbito do município para a remoção do corpo, por se tratar de morte natural presumida.","Preencher a declaração de óbito, após a família realizar um Boletim de Ocorrência Policial, visto que se trata de um óbito ocasionado por acidente pós-causa natural.",,B,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:19:08 GMT+0000 (Coordinated Universal Time)
25643,"A Hemorragia Digestiva Alta pode ser definida como sangramentos digestivos de pontos oriundos até o ligamento de Treitz como referência. Mais comum acima dos 60 anos, com mortalidade em torno de 10% na maioria dos pacientes, exceto quando associado à comorbidades. Conduzir os riscos desses pacientes de forma estratificada é recomendável, portanto, de acordo com Escore de Rockall, um paciente de 70 anos com história de sangramento gástrico por lesão neoplásica ulcerada confirmada por endoscopia digestiva, apresentando-se taquicárdico (FC 110bat/mim), com PAS >100 mmhg, apresenta risco de ressangramento e mortalidade respectivamente de:","Risco médio, ressangramento em torno de 14% com mortalidade de 5%","Risco alto, ressangramento em torno de 52% e mortalidade de 30%","Risco baixo, ressangramento inferior a 5% e mortalidade menor que 1%","Risco e mortalidade não podem ser estimados por esse Escore, pois ess é específico para monitorização de HDB (Hemorragia digestiva Baixa).",,A,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:19:28 GMT+0000 (Coordinated Universal Time)
25642,"Inegável a evolução dos dispositivos de imagens nos últimos anos, que aumentaram a segurança durante o implante de um Cateter Venoso Central (CVC). Em relação às técnicas necessárias para esse procedimento, podemos afirmar:","A punção da veia jugular interna (VJI), pelo acesso anterior, deve ser feita com o paciente em posição de Trendelemburg a 15 graus, com discreta rotação contralateral da cabeça (apoiada sobre coxins), mantendo-a próxima da linha média.","O ponto mais indicado para a punção da VJI, pelo acesso posterior, é no cruzamento da veia jugular externa com a borda anterior do Músculo Esternocleidomastoideu (MECM). Transdutor, seringa e agulha devem estar posicionados e alinhados paralelamente ao ventre anterior do MECM em direção ao mamilo ipsilateral.",A TVP (Trombose Venosa Profunda) prévia parcial não é considerada contraindicação para o CVC na veia escolhida.,"O triângulo imaginário de Haseelbach, formado medialmente pelo ventre esternal e lateralmente pelo ventre clavicular do músculo esternocleidomastóideo (MECM) e tendo como base a clavícula, é a principal referência anatômica para punções da VJID (Veia Jugular Interna Direita).",,A,,,[],2024,CESUPA,,PA,,,,Wed Apr 08 2026 23:41:29 GMT+0000 (Coordinated Universal Time),Thu Apr 30 2026 01:19:47 GMT+0000 (Coordinated Universal Time)
